award_date,project_number,award_amount,award_type
2022-02-09,1F31DA055447-01,46752,1
2022-02-02,1F31DA055448-01,42459,1
2022-01-20,1F31DA055451-01,38937,1
2022-01-18,1F31DA055462-01A1,45152,1
2022-01-18,1F31DA055469-01,34249,1
2022-02-02,1F31DA055482-01,33886,1
2023-02-16,1F31DA056147-01A1,47694,1
2022-01-02,1F31DA056194-01,32686,1
2022-12-22,1F31DA056211-01A1,39238,1
2023-02-14,1F31DA057756-01,39732,1
2022-12-23,1F31DA057795-01,47694,1
2023-02-16,1F31DA057796-01,47694,1
2023-12-27,1F31DA057812-01A1,48974,1
2023-01-11,1F31DA057815-01,47694,1
2023-01-13,1F31DA057817-01,40058,1
2022-12-23,1F31DA057832-01,37008,1
2023-01-05,1F31DA057835-01,31847,1
2023-01-05,1F31DA057836-01,47005,1
2024-02-07,1F31DA058358-01A1,42094,1
2024-02-14,1F31DA058497-01A1,44036,1
2024-02-15,1F31DA058522-01A1,45771,1
2024-02-01,1F31DA059262-01A1,45255,1
2024-01-29,1F31DA059982-01,44850,1
2024-02-08,1F31DA059983-01,35899,1
2024-01-30,1F31DA060004-01,46664,1
2024-02-12,1F31DA060014-01,42574,1
2024-02-01,1F31DA060036-01,48974,1
2024-02-01,1F31DA060045-01,44850,1
2024-02-01,1F31DA060046-01,41308,1
2024-02-01,1F31DA060091-01,36591,1
2024-12-23,1F31DA060557-01A1,42545,1
2024-12-10,1F31DA060559-01A1,43902,1
2024-12-26,1F31DA060678-01A1,42144,1
2024-02-07,1F31DA061493-01,11555,1
2024-12-10,1F31DA062403-01,48974,1
2024-12-24,1F31DA062444-01,44664,1
2024-12-20,1F31DA062445-01,48974,1
2024-12-17,1F31DA062446-01,42545,1
2024-12-12,1F31DA062453-01,45114,1
2024-12-05,1F31DA062473-01,40441,1
2024-12-23,1F31DA062536-01,48974,1
2025-01-21,1F31DA063524-01A1,48974,1
2022-01-13,1F31DC019848-01A1,41637,1
2021-12-23,1F31DC019856-01A1,41360,1
2021-12-14,1F31DC020085-01A1,49252,1
2022-01-26,1F31DC020362-01,41955,1
2022-01-28,1F31DC020372-01,37092,1
2022-02-08,1F31DC020373-01,39010,1
2021-12-16,1F31DC020388-01,31575,1
2021-12-23,1F31DC020397-01,39531,1
2023-02-07,1F31DC020671-01A1,46548,1
2023-02-07,1F31DC020910-01A1,44377,1
2023-01-10,1F31DC021079-01,41676,1
2023-02-07,1F31DC021080-01,37051,1
2023-02-01,1F31DC021108-01,35470,1
2023-01-18,1F31DC021112-01,36831,1
2023-01-13,1F31DC021113-01,43263,1
2023-12-05,1F31DC021386-01A1,37093,1
2024-01-07,1F31DC021628-01A1,38608,1
2023-12-06,1F31DC021854-01,41783,1
2024-02-16,1F31DC021868-01,46138,1
2024-02-15,1F31DC021869-01,39562,1
2023-12-13,1F31DC021875-01,40594,1
2024-02-08,1F31DC021877-01,48974,1
2023-12-16,1F31DC021881-01,43382,1
2023-12-21,1F31DC021883-01,48974,1
2023-12-05,1F31DC021886-01,48974,1
2023-12-07,1F31DC021896-01,41738,1
2024-12-05,1F31DC022138-01A1,36983,1
2024-12-11,1F31DC022146-01A1,36983,1
2024-12-13,1F31DC022184-01A1,42316,1
2024-12-18,1F31DC022188-01A1,33988,1
2024-12-22,1F31DC022501-01A1,48974,1
2024-11-21,1F31DC022514-01A1,32974,1
2024-12-12,1F31DC022801-01,48974,1
2024-12-16,1F31DC022802-01,48974,1
2022-02-09,1F31DE031180-01A1,36283,1
2022-02-01,1F31DE031509-01,39677,1
2022-02-10,1F31DE031961-01,40481,1
2022-02-02,1F31DE031962-01,32411,1
2022-02-09,1F31DE031968-01,40701,1
2024-01-12,1F31DE033289-01A1,35738,1
2024-02-13,1F31DE033887-01,47694,1
2022-02-04,1F31DK127640-01A1,46752,1
2022-01-12,1F31DK128873-01A1,39441,1
2021-12-16,1F31DK129018-01A1,33958,1
2022-02-04,1F31DK130229-01A1,46752,1
2021-12-15,1F31DK130250-01A1,15069,1
2022-01-21,1F31DK130587-01A1,35272,1
2022-02-04,1F31DK130596-01A1,46752,1
2021-12-15,1F31DK130599-01A1,31986,1
2022-01-11,1F31DK130605-01A1,34816,1
2022-02-08,1F31DK131860-01A1,32763,1
2021-12-16,1F31DK131874-01,35992,1
2022-02-04,1F31DK131905-01,34248,1
2022-02-15,1F31DK132839-01,46752,1
2022-12-15,1F31DK132866-01A1,47694,1
2022-02-08,1F31DK132895-01,34249,1
2022-12-15,1F31DK132935-01A1,47694,1
2022-02-09,1F31DK132940-01,44164,1
2023-01-09,1F31DK132941-01A1,32612,1
2022-02-08,1F31DK132982-01,33918,1
2023-02-14,1F31DK134073-01A1,47694,1
2023-02-15,1F31DK134089-01A1,43170,1
2023-02-14,1F31DK134095-01A1,36354,1
2023-02-14,1F31DK134167-01A1,34694,1
2022-12-12,1F31DK134171-01A1,36455,1
2023-02-16,1F31DK134187-01A1,47694,1
2023-02-14,1F31DK134197-01A1,35991,1
2023-01-13,1F31DK135164-01,32970,1
2023-02-14,1F31DK135277-01A1,47694,1
2023-02-16,1F31DK135283-01,40184,1
2023-02-16,1F31DK135342-01A1,40473,1
2023-02-15,1F31DK135355-01A1,37047,1
2023-02-10,1F31DK135372-01,41294,1
